tt/I,layer/I,phimin/D,phimax/D,zmin_cm/D,zmax_cm/D
0,5,-0.117489,0.910523,-119.8976,-44.3595
0,6,-0.088857,0.883108,-119.9405,-72.5716
0,7,-0.053391,0.855688,-119.9130,-107.1531
0,18,-0.110031,0.901505,22.9497,66.7333
0,19,-0.100752,0.891400,26.8936,77.6271
0,20,-0.090866,0.880050,33.0863,94.7212
0,21,-0.079927,0.867360,39.5087,107.5837
0,22,-0.065727,0.852595,47.7966,107.5841
1,5,0.665320,1.694544,-119.8976,-44.5795
1,6,0.685978,1.672079,-119.9405,-72.6266
1,7,0.715054,1.626864,-119.9130,-107.2265
1,18,0.675306,1.674486,22.9502,66.8757
1,19,0.684296,1.665460,26.9777,77.6260
1,20,0.694966,1.655680,33.3312,94.7195
1,21,0.706505,1.644711,39.6015,107.5841
1,22,0.721768,1.630531,47.8010,107.5845
2,5,1.453240,2.476671,-119.8976,-38.7305
2,6,1.476961,2.456410,-119.9405,-72.6266
2,7,1.502399,2.424951,-119.9130,-107.2265
2,18,1.453696,2.477893,22.9635,65.8863
2,19,1.463320,2.468023,24.9389,77.6208
2,20,1.473232,2.457619,33.2330,94.7162
2,21,1.485902,2.444929,39.6548,107.5837
2,22,1.498960,2.428964,47.8281,107.5845
3,5,2.233864,3.262959,-119.8976,-44.5062
3,6,2.257896,3.236914,-119.9405,-72.4617
3,7,2.289067,3.211750,-119.9130,-107.1531
3,18,2.235177,3.262943,22.9511,65.8576
3,19,2.244806,3.252812,26.8181,77.6265
3,20,2.255282,3.240878,33.2371,94.7293
3,21,2.266809,3.227485,39.5186,107.5841
3,22,2.281172,3.211651,47.8066,107.5845
4,5,3.023464,4.048498,-119.8976,-44.3595
4,6,3.040351,4.022805,-119.9405,-72.5167
4,7,3.076964,3.995666,-119.9130,-107.2265
4,18,3.032415,4.044298,22.9490,65.9281
4,19,3.040620,4.034522,25.4513,77.6265
4,20,3.052801,4.023959,32.9804,94.7284
4,21,3.066986,4.009488,39.3804,107.5837
4,22,3.084851,3.994177,47.6510,107.5845
